time_steps,model__units,model__dropout,batch_size,epochs,MAE
5,64,0.2,32,10,1671.9809236947792
6,128,0.5,32,10,1612.222405245984
7,128,0.5,32,10,1795.1351813504016
8,128,0.2,32,10,1567.3391064257028
9,256,0.5,32,10,1540.5744148468875
10,256,0.2,32,10,1951.132663166499
11,256,0.2,32,10,1615.9790068536215
12,256,0.2,32,10,1493.912702779175
13,256,0.5,32,10,1972.951961770624
14,64,0.5,32,10,2116.452944227867
15,128,0.2,32,10,1670.7188838835689
16,256,0.2,32,10,1318.6278273059477
17,64,0.2,32,10,1868.048717867944
18,256,0.2,32,10,1576.565949470766
19,256,0.2,32,10,1599.9226625504032
20,64,0.2,32,10,1603.3778882575757
21,128,0.2,32,10,1503.317850378788
22,128,0.2,32,10,1425.9387073863636
23,128,0.2,32,10,1492.414101957071
24,64,0.2,32,10,1815.468513257576
25,256,0.5,32,10,1366.2948823380566
26,256,0.5,32,10,1368.8181379681173
27,256,0.2,32,10,1473.6203109185224
28,256,0.5,32,10,1514.2285314397773
29,128,0.5,32,10,1703.5267269736842
30,256,0.2,32,10,1455.8408896424949
31,256,0.2,32,10,1834.488542723124
32,256,0.2,32,10,1821.979573402637
33,256,0.2,32,10,1900.0881085192696
34,256,0.2,32,10,1664.3639309710954
35,256,0.2,32,10,1299.2834651295732
36,256,0.2,32,10,1312.456912157012
37,256,0.2,32,10,1318.3509273373984
38,64,0.2,32,10,1628.3098481961383
39,256,0.2,32,10,1659.9677654979675
40,128,0.2,32,10,1640.85721104888
